Match Number,Runs,Wkts,Conc,Ct,St,Opposition,Ground,Start Date,ODI Number,
1,0,-,-,0,0,v Pakistan,Gujranwala,18-Dec-89,ODI # 593,
2,0,-,-,0,0,v New Zealand,Dunedin,1-Mar-90,ODI # 612,
3,36,-,-,0,0,v New Zealand,Wellington,6-Mar-90,ODI # 616,
4,10,-,-,1,0,v Sri Lanka,Sharjah,25-Apr-90,ODI # 623,
5,20,-,-,0,0,v Pakistan,Sharjah,27-Apr-90,ODI # 625,
6,19,-,-,0,0,v England,Leeds,18-Jul-90,ODI # 634,
7,31,0,10,0,0,v England,Nottingham,20-Jul-90,ODI # 635,
8,36,-,-,0,0,v Sri Lanka,Nagpur,1-Dec-90,ODI # 644,
9,53,2,39,2,0,v Sri Lanka,Pune,5-Dec-90,ODI # 646,
10,30,-,-,0,0,v Sri Lanka,Margao,8-Dec-90,ODI # 648,
11,DNB,0,15,0,0,v Bangladesh,Chandigarh,25-Dec-90,ODI # 657,
12,4,-,-,0,0,v Sri Lanka,Cuttack,28-Dec-90,ODI # 658,
13,53,-,-,0,0,v Sri Lanka,Kolkata,4-Jan-91,ODI # 661,
14,52*,-,-,0,0,v Pakistan,Sharjah,18-Oct-91,ODI # 680,
15,22,-,-,0,0,v West Indies,Sharjah,19-Oct-91,ODI # 681,
16,11*,4,34,0,0,v West Indies,Sharjah,22-Oct-91,ODI # 683,
17,49,0,20,1,0,v Pakistan,Sharjah,23-Oct-91,ODI # 684,
18,0,0,24,0,0,v Pakistan,Sharjah,25-Oct-91,ODI # 685,
19,62,1,27,0,0,v South Africa,Kolkata,10-Nov-91,ODI # 686,
20,4,0,31,0,0,v South Africa,Gwalior,12-Nov-91,ODI # 687,
21,1,0,38,0,0,v South Africa,New Delhi,14-Nov-91,ODI # 688,
22,1,1,5,0,0,v West Indies,Perth,6-Dec-91,ODI # 692,
23,36,0,8,1,0,v Australia,Perth,8-Dec-91,ODI # 693,
24,57,-,-,1,0,v Australia,Hobart,10-Dec-91,ODI # 694,
25,48,0,10,0,0,v West Indies,Adelaide,14-Dec-91,ODI # 696,
26,21,0,3,1,0,v Australia,Adelaide,15-Dec-91,ODI # 697,
27,77,0,27,0,0,v West Indies,Brisbane,11-Jan-92,ODI # 702,
28,31,0,14,0,0,v Australia,Sydney,14-Jan-92,ODI # 705,
29,57*,0,38,0,0,v West Indies,Melbourne,16-Jan-92,ODI # 707,
30,4,1,29,0,0,v Australia,Melbourne,18-Jan-92,ODI # 709,
31,69,0,18,1,0,v Australia,Sydney,20-Jan-92,ODI # 711,
32,35,0,37,1,0,v England,Perth,22-Feb-92,ODI # 715,
33,DNB,-,-,-,-,v Sri Lanka,Mackay,28-Feb-92,ODI # 722,
34,11,0,29,0,0,v Australia,Brisbane,1-Mar-92,ODI # 725,
35,54*,1,37,0,0,v Pakistan,Sydney,4-Mar-92,ODI # 729,
36,81,1,35,0,0,v Zimbabwe,Hamilton,7-Mar-92,ODI # 732,
37,4,0,20,1,0,v West Indies,Wellington,10-Mar-92,ODI # 737,
38,84,0,2,0,0,v New Zealand,Dunedin,12-Mar-92,ODI # 740,
39,14,0,20,0,0,v South Africa,Adelaide,15-Mar-92,ODI # 745,
39,0,16,0,0,v Zimbabwe,Harare,25-Oct-92,ODI # 764,,
40,15,1,25,1,0,v South Africa,Cape Town,7-Dec-92,ODI # 770,
41,10,0,18,0,0,v South Africa,Gqeberha,9-Dec-92,ODI # 772,
42,22,0,16,0,0,v South Africa,Centurion,11-Dec-92,ODI # 774,
43,21,0,4,0,0,v South Africa,Johannesburg,13-Dec-92,ODI # 779,
44,32,0,27,0,0,v South Africa,Bloemfontein,15-Dec-92,ODI # 781,
45,23,-,-,0,0,v South Africa,Durban,17-Dec-92,ODI # 783,
46,21,-,-,1,0,v South Africa,East London,19-Dec-92,ODI # 784,
47,82*,-,-,0,0,v England,Jaipur,18-Jan-93,ODI # 794,
48,1,0,16,1,0,v England,Chandigarh,21-Jan-93,ODI # 795,
49,3,-,-,1,0,v England,Bengaluru,26-Feb-93,ODI # 809,
50,24,-,-,0,0,v England,Jamshedpur,1-Mar-93,ODI # 811,
51,5,-,-,0,0,v England,Gwalior,4-Mar-93,ODI # 813,
52,34,-,-,0,0,v England,Gwalior,5-Mar-93,ODI # 814,
53,3,1,6,0,0,v Zimbabwe,Faridabad,19-Mar-93,ODI # 817,
54,8*,-,-,0,0,v Zimbabwe,Guwahati,22-Mar-93,ODI # 820,
55,DNB,0,30,0,0,v Zimbabwe,Pune,25-Mar-93,ODI # 823,
56,21,-,-,0,0,v Sri Lanka,Colombo (RPS),25-Jul-93,ODI # 833,
57,15,0,20,1,0,v Sri Lanka,Colombo (RPS),12-Aug-93,ODI # 834,
58,25,0,15,0,0,v Sri Lanka,Moratuwa,14-Aug-93,ODI # 835,
59,26*,1,27,1,0,v Sri Lanka,Kanpur,7-Nov-93,ODI # 846,
60,2,0,11,0,0,v West Indies,Ahmedabad,16-Nov-93,ODI # 851,
61,24,1,48,0,0,v Zimbabwe,Indore,18-Nov-93,ODI # 852,
62,3,-,-,0,0,v South Africa,Mohali,22-Nov-93,ODI # 855,
63,15,0,3,0,0,v South Africa,Kolkata,24-Nov-93,ODI # 856,
64,28*,1,24,0,0,v West Indies,Kolkata,27-Nov-93,ODI # 858,
65,1,3,43,1,0,v Sri Lanka,Rajkot,15-Feb-94,ODI # 879,
66,11*,1,36,1,0,v Sri Lanka,Hyderabad,18-Feb-94,ODI # 881,
67,52,1,23,0,0,v Sri Lanka,Jalandhar,20-Feb-94,ODI # 883,
68,15,0,37,0,0,v New Zealand,Napier,25-Mar-94,ODI # 896,
69,82,-,-,0,0,v New Zealand,Auckland,27-Mar-94,ODI # 897,
70,63,0,12,0,0,v New Zealand,Wellington,30-Mar-94,ODI # 898,
71,40,0,22,0,0,v New Zealand,Christchurch,2-Apr-94,ODI # 899,
