MatchNumber,CumulativeRuns
263,12397
264,12450
265,12503
266,12556
267,12609
268,12663
269,12716
270,12769
271,12822
272,12875
273,12928
274,12981
275,13034
276,13087
277,13140
278,13193
279,13247
280,13300
281,13353
282,13406
283,13459
284,13512
285,13565
286,13618
287,13671
288,13724
289,13777
290,13831
291,13884
292,13937
293,13990
294,14043
295,14096
296,14149
297,14202
298,14255
299,14308
300,14361
301,14415
302,14468
303,14521
304,14574
305,14627
306,14680
307,14733
308,14786
309,14839
310,14892
311,14945
312,14999
313,15052
314,15105
315,15158
316,15211
317,15264
318,15317
319,15370
320,15423
321,15476
322,15529
323,15582
324,15636
325,15689
326,15742
327,15795
328,15848
329,15901
330,15954
331,16007
332,16060
333,16113
334,16166
335,16220
336,16273
337,16326
338,16379
339,16432
340,16485
341,16538
342,16591
343,16644
344,16697
345,16750
346,16804
347,16857
348,16910
349,16963
350,17016
351,17069
352,17122
353,17175
354,17228
355,17281
356,17334
357,17388
358,17441
359,17494
360,17547
361,17600
362,17653
363,17706
364,17759
365,17812
366,17865
367,17918
368,17972
369,18025
370,18078
371,18131
372,18184
373,18237
374,18290
375,18343
376,18396
377,18449
378,18502
379,18556
380,18609
381,18662
382,18715
383,18768
384,18821
385,18874
386,18927
387,18980
388,19033
389,19086
390,19140
391,19193
392,19246
393,19299
394,19352
395,19405
396,19458
397,19511
398,19564
399,19617
400,19670
401,19724
402,19777
403,19830
404,19883
405,19936
406,19989
407,20042
408,20095
409,20148
410,20201
411,20254
412,20308
413,20361
414,20414
415,20467
416,20520
417,20573
418,20626
419,20679
420,20732
421,20785
422,20838
423,20891
424,20945
425,20998
426,21051
427,21104
428,21157
429,21210
430,21263
431,21316
432,21369
433,21422
434,21475
435,21529
436,21582
437,21635
438,21688
439,21741
440,21794
441,21847
442,21900
443,21953
444,22006
445,22059
446,22113
447,22166
448,22219
449,22272
450,22325
451,22378
452,22431
453,22484
454,22537
455,22590
456,22643
457,22697
458,22750
459,22803
460,22856
461,22909
462,22962
